station_name, longtitude, latitude
Bartley mrt,103.880177899184,1.34250117805245
Lorong Chuan mrt,103.864151938651,1.35161217074555
Marymount mrt,103.839423132332,1.348707263451
Caldecott mrt,103.840161782075,1.33724561271722
Botanic Gardens mrt,103.815385463093,1.32238699517166
Farrer Road mrt,103.807379214161,1.31743915158967
Holland Village mrt,103.796399122407,1.31224029631595
one-north mrt,103.78745750525,1.29975987493555
Kent Ridge mrt,103.784572738173,1.29353349887123
Haw Par Villa mrt,103.781752725064,1.28257135772488
Pasir Panjang mrt,103.791350313288,1.27621352233766
Labrador Park mrt,103.803416232089,1.27236838626952
Telok Blangah mrt,103.809761611219,1.27070647717762
Bayfront mrt,103.859079764874,1.28187378879209
Bukit Panjang mrt,103.761535114929,1.37900211641036
Cashew mrt,103.76443921414,1.36981544925552
Hillview mrt,103.767418254007,1.36234486803558
Beauty World mrt,103.775794285083,1.34122317558549
King Albert Park mrt,103.783235863233,1.335893496278
Sixth Avenue mrt,103.796906838288,1.33085764536226
Tan Kah Kee mrt,103.807760304729,1.32555623519898
Stevens mrt,103.826024401924,1.32006555750626
Rochor mrt,103.852769428884,1.30385218527656
Downtown mrt,103.852840829581,1.27944638178916
Telok Ayer mrt,103.848648781083,1.28206894769394
Fort Canning mrt,103.844331362465,1.29248194822996
Bencoolen mrt,103.850353762717,1.29891843369422
Jalan Besar mrt,103.855295713435,1.3051713878069
Bendemeer mrt,103.862977620945,1.31367252847691
Geylang Bahru mrt,103.871622627142,1.32130110228321
Mattar mrt,103.883247509542,1.32687671501334
Ubi mrt,103.899226655439,1.32997425973974
Kaki Bukit mrt,103.908459338046,1.33496735995428
Bedok North mrt,103.91797832995,1.33474211664091
Bedok Reservoir mrt,103.932234623286,1.33660782955099
Tampines West mrt,103.938436971222,1.34551530560119
Tampines East mrt,103.9546344625,1.35619148271544
Upper Changi mrt,103.961472788634,1.34173977444995
Woodlands North mrt,103.785692682441,1.44829245259621
Woodlands South mrt,103.79326432221,1.42739605281442
